288.027, 130.014, 7.234,  8.207 False
287.787, 130.045, 7.262,  8.240 False
287.546, 130.075, 7.288,  8.273 False
287.304, 130.105, 7.316,  8.306 False
287.062, 130.135, 7.343,  8.339 False
286.818, 130.164, 7.371,  8.372 False
286.573, 130.194, 7.397,  8.405 False
286.328, 130.223, 7.426,  8.438 False
286.081, 130.253, 7.452,  8.471 False
285.834, 130.282, 7.480,  8.504 False
285.585, 130.311, 7.506,  8.537 False
285.336, 130.340, 7.534,  8.570 False
285.086, 130.368, 7.560,  8.603 False
284.835, 130.397, 7.588,  8.636 False
284.583, 130.425, 7.614,  8.669 False
284.330, 130.452, 7.641,  8.702 False
284.076, 130.479, 7.667,  8.735 False
283.821, 130.505, 7.696,  8.768 False
283.565, 130.532, 7.722,  8.801 False
283.308, 130.557, 7.750,  8.834 False
283.051, 130.582, 7.776,  8.867 False
282.792, 130.606, 7.804,  8.900 False
282.532, 130.630, 7.830,  8.933 False
282.271, 130.653, 7.859,  8.966 False
282.010, 130.675, 7.884,  8.999 False
281.747, 130.697, 7.913,  9.032 False
281.484, 130.717, 7.939,  9.065 False
281.219, 130.738, 7.967,  9.098 False
280.954, 130.758, 7.993,  9.131 False
280.687, 130.778, 8.022,  9.164 False
280.420, 130.796, 8.048,  9.197 False
280.151, 130.815, 8.077,  9.230 False
279.882, 130.832, 8.104,  9.263 False
279.612, 130.849, 8.132,  9.296 False
279.341, 130.865, 8.158,  9.329 False
279.068, 130.880, 8.187,  9.362 False
278.795, 130.895, 8.213,  9.395 False
278.521, 130.905, 8.230,  9.428 False
278.247, 130.909, 8.229,  9.461 False
277.972, 130.911, 8.256,  9.494 False
277.696, 130.912, 8.280,  9.527 False
277.420, 130.910, 8.298,  9.560 False
277.143, 130.906, 8.310,  9.593 False
276.866, 130.900, 8.319,  9.626 False
276.589, 130.891, 8.324,  9.659 False
276.312, 130.879, 8.329,  9.692 False
276.035, 130.864, 8.334,  9.725 False
275.758, 130.848, 8.339,  9.758 False
275.481, 130.828, 8.343,  9.791 False
275.204, 130.806, 8.345,  9.824 False
